Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.9853968505856143
1,0.9735702395015139
2,0.9707488163213096
3,0.9615794333619807
4,0.9514457468863069
5,0.938381683943861
6,0.922028286428826
7,0.9173515567535843
8,0.9134450874079422
9,0.9100098121021251
10,0.9073778669352641
11,0.8982268309194211
12,0.8697573691044977
13,0.8596749041020371
14,0.8396085239364016
15,0.8299300778123844
16,0.81139156293601
17,0.810481241840448
18,0.802963689159939
19,0.7916085730915272
20,0.7918984990949691
21,0.7877811909005461
22,0.7751928405012197
23,0.7746820840460785
24,0.7741379025416106
25,0.7632336478759439
26,0.7631356844173566
27,0.7500065053035461
28,0.748683002022188
29,0.7453597277574789
30,0.7456505114645878
31,0.746871324880155
32,0.7465800283074859
33,0.7468247962817623
34,0.7403682815128491
35,0.734644136157857
36,0.7323563454663508
37,0.7321663029850107
38,0.728213026866487
39,0.7255698938053001
40,0.7254777729778528
41,0.7257759674683552
42,0.7261035064395698
43,0.7259580668742132
44,0.7225175473053432
45,0.7226427227329174
46,0.7113196175862193
47,0.7045227176758649
48,0.7042827189883408
49,0.7033154328683549
50,0.7009561550800749
51,0.6945724012349057
52,0.6940561585883267
53,0.6957117219089664
54,0.6958078410112548
55,0.6798534868449924
56,0.6797453494228985
57,0.6803388879418701
58,0.6587344072769014
59,0.6582587708652208
60,0.6579495901775675
61,0.6576541919988192
62,0.6570155981125245
63,0.6389243012490826
64,0.6329572077419614
65,0.6326074568932656
66,0.6199654379159221
67,0.6195386718002646
68,0.6176649170980223
69,0.6177921978004055
70,0.6178613750899642
71,0.6130745385079435
72,0.6125060248081137
73,0.6126064545939652
74,0.6124906388734311
75,0.6092034287933903
76,0.6004927560026239
77,0.6012552408475011
78,0.598703909711632
79,0.5960750571892897
80,0.5959627516323468
81,0.5937375390418078
82,0.5902132826226929
83,0.5886061331392691
84,0.5879876874246321
85,0.5859357470836358
86,0.5857411995755664
87,0.5868946626119638
88,0.5862317725163981
89,0.5862722294087039
90,0.5862490186015757
91,0.5854438689337691
92,0.5856758749010934
93,0.5868326514734791
94,0.5868116015807172
95,0.5868347869182544
96,0.5868390429778876
97,0.5867163601863615
98,0.5866290611697669
99,0.5792608523616922
100,0.5745027057933167
101,0.5746423048913385
102,0.5701101659324247
103,0.570088664066673
104,0.5612901707461276
105,0.5612940591270127
106,0.5616997321970968
107,0.5613385527516578
108,0.5612660223322995
109,0.5613118644955016
110,0.5612932262909395
111,0.5601999075297537
112,0.5590789179324819
113,0.5590712943261005
114,0.5576061901971153
115,0.5627771028541856
116,0.5630699703570143
117,0.5620278210139311
118,0.5573493432204926
119,0.5529242658455052
120,0.5529315261232137
121,0.5519608003615843
122,0.5520575948219058
123,0.5533634013353811
124,0.5533387266843997
125,0.5533363029763648
126,0.5529463878579234
127,0.5547281012845053
128,0.5564760462790357
129,0.5545209213426819
130,0.5510784017532727
131,0.5423352011636066
132,0.5423372495526453
133,0.5428644467789602
134,0.5426432545336117
135,0.532392712612829
136,0.5325374216621003
137,0.5317341673827649
138,0.5308886969402506
139,0.530584077773001
140,0.5132739862425792
141,0.5133861299605763
142,0.5133421297110784
143,0.5131851441817725
144,0.5094759324867617
145,0.5094684597466554
146,0.509460183176748
147,0.5092191235715451
148,0.508400586194652
149,0.5070379846853633
150,0.506997699101491
151,0.506972374719066
152,0.5057468034145256
153,0.5055402790702317
154,0.5064260759858442
155,0.5076096378474512
156,0.5074531384218917
157,0.5060110003389092
158,0.5058642267188574
159,0.5055130574833029
160,0.500679534391074
161,0.5007794144555227
162,0.4972894560985427
163,0.4957517744239778
164,0.4957471442627942
165,0.4952390647560974
166,0.48850723487075287
167,0.4887193447877534
168,0.48804157724792036
169,0.4879981358418294
170,0.48937397109182756
171,0.48920475275146114
172,0.49352993507582366
173,0.49269065930077155
174,0.48676103715482205
175,0.48648986958999724
176,0.4864941141077764
177,0.486345606859467
178,0.4863531654765426
179,0.4861144162210002
180,0.48543595457706284
181,0.48550407033138915
182,0.48551207710376965
183,0.48550941051539515
184,0.477953245437895
185,0.47794770303680056
186,0.47774594363464723
187,0.47773813214918553
188,0.47622657324196893
189,0.4757916276415964
190,0.4737544539667839
191,0.4748329100589923
192,0.4748080443391524
193,0.4741032250133994
194,0.47408964934462816
195,0.4762325931972823
196,0.4768201975908445
197,0.47653614847442743
198,0.47593594867233724
199,0.4759374018876601
200,0.47364579959311987
201,0.47369354735697866
202,0.4736842435081082
203,0.4736918491050587
204,0.47071981002944085
205,0.4694162217076351
206,0.4694150768616635
207,0.468811978583641
208,0.46727524015481753
209,0.4669640344996111
210,0.4668671105871387
211,0.4662265025390159
212,0.4666630807343137
213,0.46373802889621957
214,0.463748775869253
215,0.463744191469174
216,0.46341522783664874
217,0.46318674944296817
218,0.46282989524381773
219,0.4628237317927633
220,0.46138971639316556
221,0.46138495540772545
222,0.46143607013208526
223,0.46050751520935024
224,0.44987215112064166
225,0.44480422627965865
226,0.44507164172931424
227,0.440984484099208
228,0.4410195032529006
229,0.4412701236802394
